id,title,description,price,largeur,profondeur,hauteur,disponibilite,images,color,seat,reference,quantity,miniDescription,fabricType,brand,ecoMobilier,typeCanape,ean,poids,garantie
1,Aube Dorée,"Le canapé Aube Dorée incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Aube Dorée, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",599.99,140 cm,80 cm,90 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/1/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/1/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/1/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/1/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/1/6.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/1/5.png""]",Beige,4,91226BZ,1,"[""Aube Dorée offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Aube Dorée, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",cuir,Ikea,6,standard,1043941162017,61,2
2,Brise Marine,"Le canapé Brise Marine incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Brise Marine, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",899.99,250 cm,150 cm,85 cm,false,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/11/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/11/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/11/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/11/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/11/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/11/1.png""]",Beige,3,53143KQ,1,"[""Beige offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Brise Marine, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Roche Bobois,19,standard,9382426862752,24,4
3,Éclat Contemporain,"Le canapé Éclat Contemporain incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Éclat Contemporain, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",749.99,200 cm,100 cm,90 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/10/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/10/6.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/10/6.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/10/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/10/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/10/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/10/5.png""]",Gris,4,98846YA,1,"[""Éclat Contemporain offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Éclat Contemporain, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Habitat,36,standard,9489871279304,81,7
4,Épure Contemporaine,"Avec son design minimaliste et ses finitions nettes, le canapé Épure Contemporaine est le choix parfait pour un intérieur moderne et raffiné. Il offre un excellent compromis entre style et confort grâce à son assise dense et ses accoudoirs fins. Son tissu anti-taches facilite l’entretien au quotidien. Disponible en plusieurs coloris.",799.9,220 cm,85 cm,83 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/57/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/57/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/57/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/57/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/57/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/57/6.png""]",Vert,5,44188EC,1,"[""Design contemporain aux lignes pures."",""Confort ferme et maintien optimal."",""Revêtement facile d'entretien.""]",tissu,Alinéa,21,standard,3462389927093,70,8
5,Lueur Bohème,"Le canapé Lueur Bohème incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Lueur Bohème, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",349.99,90 cm,80 cm,100 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/12/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/12/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/12/6.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/12/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/12/1.png""]",Noir,6,31709EU,1,"[""Lueur Bohème offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Lueur Bohème, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Maisons du Monde,19,standard,6884402647464,30,3
6,Capitonné Élégance,"Le canapé Capitonné Élégance incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Capitonné Élégance, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",799.99,220 cm,95 cm,85 cm,false,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/14/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/14/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/14/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/14/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/14/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/14/6.png""]",Blanc,1,80465AY,1,"[""Capitonné Élégance offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Capitonné Élégance, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",cuir,Conforama,37,standard,3497083487611,92,1
7,Minimaliste Nordique,"Le canapé Minimaliste Nordique incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Minimaliste Nordique, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",399.99,130 cm,70 cm,80 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/15/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/15/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/15/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/15/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/15/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/15/6.png""]",Gris,3,80053IJ,1,"[""Minimaliste Nordique offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Minimaliste Nordique, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Ligne Roset,32,standard,7982780447687,96,4
8,Atelier Urbain,"Le canapé Atelier Urbain incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Atelier Urbain, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",899.99,250 cm,150 cm,90 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/16/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/16/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/16/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/16/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/16/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/16/6.png""]",Taupe,5,67455RL,1,"[""Atelier Urbain offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Atelier Urbain, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Muuto,31,standard,1773315331570,84,2
9,Matelassé Confort,"Le canapé Matelassé Confort incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Matelassé Confort, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",999.99,200 cm,90 cm,85 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/17/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/17/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/17/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/17/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/17/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/17/6.png""]",Blanc,5,55501OJ,1,"[""Matelassé Confort offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Matelassé Confort, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,West Elm,43,standard,9973095816431,84,8
10,Sérénité Lounge,"Le canapé Sérénité Lounge incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Sérénité Lounge, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",799.99,230 cm,100 cm,90 cm,false,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/18/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/18/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/18/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/18/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/18/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/18/6.png""]",Gris,1,81847NC,1,"[""Sérénité Lounge offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Sérénité Lounge, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Fermob,28,standard,4559259648633,97,4
